	range	logratio
1	390	-0.05035573
2	391	-0.06009706
3	393	-0.04190091
4	394	-0.0509847
5	396	-0.05991345
6	397	-0.02842392
7	399	-0.05958421
8	400	-0.03988881
9	402	-0.02939582
10	403	-0.03949445
11	405	-0.04764749
12	406	-0.06038
13	408	-0.03123034
14	409	-0.03816584
15	411	-0.07562269
16	412	-0.05001751
17	414	-0.0457295
18	415	-0.07766966
19	417	-0.02460641
20	418	-0.07133184
21	420	-0.01320746
22	421	-0.03162615
23	423	-0.03247478
24	424	-0.08840797
25	426	-0.07024166
26	427	-0.02877263
27	429	-0.03696702
28	430	-0.1015625
29	432	-0.06831373
30	433	-0.03175751
31	435	-0.05336819
32	436	-0.05726381
33	438	-0.02295515
34	439	-0.01479166
35	441	-0.02531884
36	442	-0.09538944
37	444	-0.08126108
38	445	-0.06473801
39	447	-0.04940004
40	448	-0.02453983
41	450	-0.004223316
42	451	-0.04692908
43	453	-0.0726426
44	454	-0.06375497
45	456	-0.04867571
46	457	-0.07902194
47	459	-0.05508392
48	460	-0.03600915
49	462	-0.00819836
50	463	-0.02991638
51	465	-0.05904417
52	466	-0.04349076
53	468	-0.1083667
54	469	-0.07164495
55	471	-0.1080431
56	472	-0.01144756
57	474	-0.09066497
58	475	-0.07438849
59	477	-0.08880716
60	478	-0.0724013
61	480	-0.03941208
62	481	-0.08413698
63	483	-0.04477778
64	484	-0.1486651
65	486	-0.08027266
66	487	-0.05482479
67	489	-0.01202489
68	490	0.0193486
69	492	-0.08389427
70	493	-0.04157477
71	495	-0.06109121
72	496	-0.06044325
73	498	-0.08220186
74	499	-0.07530349
75	501	-0.04480991
76	502	0.008222156
77	504	-0.06758809
78	505	-0.03249946
79	507	-0.02198146
80	508	-0.04232621
81	510	-0.07785213
82	511	-0.07806195
83	513	0.02690717
84	514	-0.09226096
85	516	-0.09159045
86	517	-0.004001756
87	519	-0.01818933
88	520	-0.02527617
89	522	-0.05842499
90	523	-0.05257305
91	525	-0.02606248
92	526	-0.1180877
93	528	-0.0526311
94	529	-0.04135148
95	531	-0.009199134
96	532	-0.08336644
97	534	-0.01253334
98	535	-0.06290332
99	537	-0.06018018
100	538	-0.1035686
101	540	-0.1261166
102	541	-0.03887012
103	543	-0.05654984
104	544	-0.07444842
105	546	-0.003788664
106	547	-0.09203971
107	549	-0.05517356
108	550	-0.1004337
109	552	-0.169438
110	553	-0.06414184
111	555	-0.1867348
112	556	-0.09086006
113	558	-0.05918714
114	559	-0.0810351
115	561	-0.1034776
116	562	-0.06567394
117	564	-0.1821245
118	565	-0.0857127
119	567	-0.1216041
120	568	-0.1342692
121	570	-0.1933908
122	571	-0.1178639
123	573	-0.287109
124	574	-0.2739447
125	576	-0.1867194
126	577	-0.1891953
127	579	-0.2948625
128	580	-0.3711984
129	582	-0.2326753
130	583	-0.2719736
131	585	-0.2750204
132	586	-0.3105271
133	588	-0.3991572
134	589	-0.4256722
135	591	-0.5190272
136	592	-0.4245844
137	594	-0.3982711
138	595	-0.3463767
139	597	-0.4404651
140	598	-0.4169474
141	600	-0.3663678
142	601	-0.4121902
143	603	-0.5258849
144	604	-0.4581079
145	606	-0.4604081
146	607	-0.5218792
147	609	-0.5664269
148	610	-0.7089956
149	612	-0.6505402
150	613	-0.5719829
151	615	-0.4014736
152	616	-0.5251362
153	618	-0.5635558
154	619	-0.5900392
155	621	-0.4241413
156	622	-0.4893619
157	624	-0.5423047
158	625	-0.6555049
159	627	-0.509341
160	628	-0.4830832
161	630	-0.6007552
162	631	-0.6836965
163	633	-0.5153322
164	634	-0.4857863
165	636	-0.6638135
166	637	-0.7692632
167	639	-0.4796891
168	640	-0.7720272
169	642	-0.5406614
170	643	-0.5651009
171	645	-0.4565217
172	646	-0.4199023
173	648	-0.5397169
174	649	-0.9238232
175	651	-0.640224
176	652	-0.8252677
177	654	-0.5966183
178	655	-0.5465871
179	657	-0.4236746
180	658	-0.7076495
181	660	-0.4554013
182	661	-0.6759382
183	663	-0.6588688
184	664	-0.7198635
185	666	-0.5682055
186	667	-0.6394204
187	669	-0.7310237
188	670	-0.6116481
189	672	-0.6172596
190	673	-0.7559637
191	675	-0.7663848
192	676	-0.7123093
193	678	-0.7086443
194	679	-0.5377112
195	681	-0.72429
196	682	-0.6214564
197	684	-0.6324121
198	685	-0.9495535
199	687	-0.6757631
200	688	-0.5887097
201	690	-0.9114353
202	691	-0.4326794
203	693	-0.8590017
204	694	-0.7987653
205	696	-0.6931472
206	697	-0.886574
207	699	-0.7968261
208	700	-0.5025268
209	702	-0.4716702
210	703	-0.7801088
211	705	-0.6668431
212	706	-0.5783479
213	708	-0.7874522
214	709	-0.6156956
215	711	-0.8967602
216	712	-0.7077379
217	714	-0.672567
218	715	-0.6218413
219	717	-0.8657611
220	718	-0.557754
221	720	-0.8026684
